date,open,high,low,close,volume,amount
2022-01-12,285.65,296.18,285.59,293.45,191642,10752974080.0
2022-01-13,296.76,302.87,287.73,293.43,138997,7924626176.0
2022-01-14,289.02,302.21,288.43,300.32,116128,6663124480.0
2022-01-17,306.68,317.59,301.09,316.68,143528,8591412224.0
2022-01-18,316.68,317.19,305.09,305.54,107017,6345099008.0
2022-01-19,307.04,310.09,289.82,296.2,144874,8273655040.0
2022-01-20,293.98,300.65,292.51,295.72,80654,4600905728.0
2022-01-21,292.32,301.54,286.21,295.92,99174,5620817920.0
2022-01-24,292.87,308.57,290.1,302.31,115621,6686725120.0
2022-01-25,297.99,303.61,293.43,293.76,71992,4119696704.0
2022-01-26,297.21,307.65,294.26,305.93,116037,6718821632.0
2022-01-27,304.54,310.09,296.21,298.98,129482,7546107136.0
2022-01-28,309.87,315.09,296.45,308.76,243317,14395957504.0
2022-02-07,316.21,318.42,298.53,301.45,145289,8588397056.0
2022-02-08,301.45,301.45,269.44,280.02,206503,11166726656.0
2022-02-09,278.98,285.59,272.32,283.54,114947,6212329216.0
2022-02-10,286.09,286.21,257.26,267.37,292336,14959750656.0
2022-02-11,260.65,264.86,251.21,251.76,239798,11994983936.0
2022-02-14,249.54,264.48,249.02,261.76,196286,9914026752.0
2022-02-15,267.87,274.17,263.43,272.32,151508,7915477248.0
2022-02-16,272.87,280.89,270.64,274.43,127068,6783859200.0
2022-02-17,273.97,281.48,271.53,276.76,107472,5758516480.0
2022-02-18,273.98,276.76,270.08,272.59,113848,5993089792.0
2022-02-21,272.04,272.04,260.36,262.87,156306,8011219968.0
2022-02-22,261.01,261.76,253.08,259.54,136329,6788745216.0
2022-02-23,260.65,267.9,258.69,267.87,154332,7922652160.0
2022-02-24,261.76,269.31,257.87,261.59,161600,8252994816.0
2022-02-25,268.98,276.76,268.92,273.32,169672,8978907392.0
2022-02-28,270.65,277.59,270.65,275.85,99657,5284369408.0
2022-03-01,279.09,284.03,273.98,277.42,97490,5244201472.0
2022-03-02,274.54,274.98,262.25,265.01,134129,6925800192.0
2022-03-03,266.87,267.76,261.19,264.53,86989,4456406528.0
2022-03-04,260.09,262.32,250.65,252.76,162834,8081812224.0
2022-03-07,243.43,248.98,231.77,232.26,245993,11425969408.0
2022-03-08,237.31,238.68,225.66,232.57,227541,10355465472.0
2022-03-09,232.87,242.87,228.43,242.58,234574,10851981824.0
2022-03-10,251.76,260.4,249.16,252.21,239617,11860996864.0
2022-03-11,246.67,254.54,242.93,253.73,171022,8275316992.0
2022-03-14,247.87,250.22,236.76,236.76,162910,7715325184.0
2022-03-15,235.65,246.92,229.87,236.87,212687,9944131840.0
